iter	Passed	Remaining
0	149	149009
1	153	76458
2	157	52368
3	161	40214
4	165	32997
5	170	28173
6	172	24489
7	174	21606
8	175	19361
9	177	17562
10	179	16103
11	180	14880
12	182	13842
13	183	12953
14	185	12180
15	187	11545
16	189	10966
17	191	10440
18	192	9963
19	194	9547
20	196	9158
21	198	8804
22	199	8479
23	201	8202
24	203	7937
25	205	7707
26	207	7473
27	208	7254
28	210	7052
29	212	6860
30	213	6683
31	215	6520
32	217	6361
33	218	6212
34	220	6072
35	221	5939
36	223	5815
37	225	5701
38	226	5587
39	228	5478
40	229	5377
41	231	5281
42	233	5188
43	234	5097
44	236	5012
45	237	4931
46	239	4857
47	241	4781
48	242	4711
49	244	4654
50	246	4588
51	248	4523
52	249	4460
53	251	4402
54	252	4345
55	254	4292
56	256	4243
57	258	4191
58	259	4142
59	261	4092
60	262	4045
61	264	4000
62	266	3958
63	267	3916
64	269	3876
65	271	3836
66	272	3800
67	273	3751
68	275	3714
69	276	3677
70	278	3642
71	279	3607
72	281	3574
73	283	3541
74	284	3512
75	286	3481
76	288	3453
77	289	3423
78	291	3394
79	292	3367
80	294	3339
81	295	3312
82	297	3286
83	299	3261
84	300	3231
85	301	3209
86	303	3180
87	304	3157
88	306	3134
89	307	3111
90	309	3091
91	311	3070
92	312	3049
93	314	3029
94	316	3011
95	317	2991
96	319	2971
97	320	2952
98	322	2933
99	324	2916
100	325	2898
101	326	2874
102	328	2857
103	329	2842
104	331	2825
105	333	2809
106	334	2792
107	336	2775
108	337	2761
109	339	2747
110	341	2732
111	342	2717
112	344	2703
113	346	2689
114	347	2674
115	348	2658
116	350	2644
117	352	2631
118	353	2615
119	354	2602
120	356	2589
121	357	2576
122	358	2558
123	360	2547
124	362	2534
125	363	2522
126	365	2510
127	366	2495
128	367	2483
129	369	2472
130	371	2461
131	372	2449
132	374	2440
133	375	2429
134	377	2419
135	379	2408
136	380	2397
137	381	2385
138	383	2375
139	385	2365
140	386	2355
141	388	2346
142	390	2337
143	391	2328
144	393	2318
145	394	2309
146	396	2300
147	398	2291
148	399	2282
149	401	2274
150	403	2266
151	404	2258
152	406	2249
153	407	2240
154	409	2233
155	411	2226
156	413	2217
157	414	2209
158	416	2200
159	417	2193
160	419	2185
161	421	2178
162	423	2173
163	425	2166
164	426	2160
165	428	2155
166	430	2149
167	432	2143
168	434	2138
169	436	2130
170	437	2123
171	439	2116
172	441	2108
